Date,AAPL.Close,TSLA.Close,^NSEI.Close,AAPL.High,TSLA.High,^NSEI.High,AAPL.Low,TSLA.Low,^NSEI.Low,AAPL.Open,TSLA.Open,^NSEI.Open,AAPL.Volume,TSLA.Volume,^NSEI.Volume
2025-12-26,272.89300537109375,475.19000244140625,26042.30078125,274.8593534534055,489.0899963378906,26144.19921875,272.35399820928086,473.82000732421875,26008.599609375,273.65160578690546,485.2300109863281,26121.25,21521800.0,58780700.0,142200.0
2025-12-29,273.2523498535156,459.6400146484375,25942.099609375,273.8512128461511,469.3999938964844,26106.80078125,271.8449608988494,459.0,25920.30078125,272.1843267483383,469.0,26063.349609375,23715200.0,66263000.0,234300.0
2025-12-30,272.57354736328125,454.42999267578125,25938.849609375,273.57169281796894,463.1199951171875,25976.75,271.77504318392386,453.8299865722656,25878.0,272.30405905646904,461.0899963378906,25940.900390625,22139600.0,59238500.0,396900.0
2025-12-31,271.3558349609375,449.7200012207031,26129.599609375,273.17246717497864,456.54998779296875,26187.94921875,271.24605357156486,449.29998779296875,25969.0,272.553621806917,456.1000061035156,25971.05078125,27293600.0,49078000.0,246300.0
2026-01-01,,,26146.55078125,,,26197.55078125,,,26113.400390625,,,26173.30078125,,,425600.0
2026-01-02,270.5074462890625,438.07000732421875,26328.55078125,277.32476727085935,458.3399963378906,26340.0,268.5011639041959,435.29998779296875,26118.400390625,271.7551282774649,457.79998779296875,26155.099609375,37838100.0,85535400.0,357500.0
2026-01-05,266.764404296875,451.6700134277344,26250.30078125,271.00652312062255,457.54998779296875,26373.19921875,265.64648609237463,444.57000732421875,26210.05078125,270.1381413175191,447.989990234375,26333.69921875,45647200.0,67940800.0,338800.0
2026-01-06,261.87347412109375,432.9599914550781,26178.69921875,267.05385240251036,448.25,26273.94921875,261.63392891626114,428.7799987792969,26124.75,266.5048844877732,446.3800048828125,26189.69921875,52352100.0,89093800.0,383000.0
2026-01-07,259.84722900390625,431.4100036621094,26140.75,263.1910228349833,438.3699951171875,26187.150390625,259.3282042611396,431.2900085449219,26067.900390625,262.7119324450406,435.8999938964844,26143.099609375,48309800.0,59828800.0,338200.0
2026-01-08,258.55963134765625,435.79998779296875,25876.849609375,258.80916773471864,436.8900146484375,26133.19921875,255.22581364132833,424.3699951171875,25858.44921875,256.5433578451618,427.8900146484375,26106.5,50419300.0,57041100.0,328500.0
2026-01-09,258.8890075683594,445.010009765625,25683.30078125,259.7274461787287,449.04998779296875,25940.599609375,255.74485516422806,430.3900146484375,25623.0,258.5995368285105,435.95001220703125,25840.400390625,39997000.0,67331500.0,348800.0
2026-01-12,259.7673645019531,448.9599914550781,25790.25,260.81540508500296,454.29998779296875,25813.150390625,256.32375036738995,438.0,25473.400390625,258.679389570116,441.2300109863281,25669.05078125,45263800.0,61649600.0,275800.0
2026-01-13,260.5658874511719,447.20001220703125,25732.30078125,261.3244878277737,451.80999755859375,25899.80078125,257.9108470550362,443.95001220703125,25603.30078125,258.24022168851656,450.20001220703125,25897.349609375,45730800.0,53719200.0,339500.0
2026-01-14,259.4779052734375,439.20001220703125,25665.599609375,261.33447181199796,443.9100036621094,25791.75,256.23393227813756,434.2200012207031,25603.94921875,259.0087756526009,442.80999755859375,25648.55078125,40019400.0,57259500.0,393100.0
2026-01-15,257.7311706542969,438.57000732421875,,260.55593980217856,445.3599853515625,,256.57331808587395,437.6499938964844,,260.16664839115424,441.1300048828125,,39388600.0,49465800.0,
2026-01-16,255.05612182617188,437.5,25694.349609375,258.41986733264514,447.25,25873.5,254.4572284259222,435.260009765625,25662.400390625,257.4217218192236,439.5,25696.05078125,72142800.0,60220600.0,434000.0
2026-01-19,,,25585.5,,,25653.30078125,,,25494.349609375,,,25653.099609375,,,443100.0
